0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
0,1
1,9
2,5
3,1
4,4
5,7
6,9
7,2
8,2
9,2
10,5
